city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Százhalombatta,47.3004,18.9136,Hungary,HU,Pest,,17856,17856
Békés,46.7667,21.1333,Hungary,HU,Békés,minor,17726,17726
Pécel,47.4893,19.3354,Hungary,HU,Pest,,17331,17331
Mohács,45.9959,18.6798,Hungary,HU,Baranya,minor,17315,17315
Dombóvár,46.3820,18.1422,Hungary,HU,Tolna,minor,17300,17300
Mezőkövesd,47.8167,20.5833,Hungary,HU,Borsod-Abaúj-Zemplén,minor,15588,15588
Tiszaújváros,47.9333,21.0833,Hungary,HU,Borsod-Abaúj-Zemplén,minor,15479,15479
Budakeszi,47.5123,18.9281,Hungary,HU,Pest,minor,15473,15473
Mátészalka,47.9500,22.3167,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,15351,15351
Biatorbágy,47.4712,18.8252,Hungary,HU,Pest,,15151,15151
Sárvár,47.2500,16.9333,Hungary,HU,Vas,minor,15003,15003
Kisvárda,48.2167,22.0833,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,14990,14990
Törökbálint,47.4367,18.9122,Hungary,HU,Pest,,14741,14741
Kalocsa,46.5335,18.9858,Hungary,HU,Bács-Kiskun,minor,14619,14619
Pilisvörösvár,47.6211,18.9108,Hungary,HU,Pest,minor,14428,14428
Tapolca,46.8828,17.4081,Hungary,HU,Veszprém,minor,14206,14206
Balassagyarmat,48.0786,19.2942,Hungary,HU,Nógrád,minor,14036,14036
Hajdúsámson,47.6000,21.7667,Hungary,HU,Hajdú-Bihar,,13960,13960
Kerepestarcsa,47.5478,19.2634,Hungary,HU,Pest,,13606,13606
Albertirsa,47.2400,19.6067,Hungary,HU,Pest,,13533,13533
Gárdony,47.1973,18.6091,Hungary,HU,Fejér,minor,13486,13486
Sátoraljaújhely,48.4000,21.6667,Hungary,HU,Borsod-Abaúj-Zemplén,minor,13122,13122
Hajdúhadház,47.6833,21.6667,Hungary,HU,Hajdú-Bihar,minor,13057,13057
Balatonfüred,46.9500,17.8833,Hungary,HU,Veszprém,minor,13053,13053
Üllő,47.3854,19.3439,Hungary,HU,Pest,,12611,12611
Maglód,47.4439,19.3526,Hungary,HU,Pest,,12412,12412
Bonyhád,46.3006,18.5309,Hungary,HU,Tolna,minor,12163,12163
Budakalász,47.6215,19.0460,Hungary,HU,Pest,,12013,12013
Nagykáta,47.4120,19.7396,Hungary,HU,Pest,minor,11985,11985
Halásztelek,47.3608,18.9878,Hungary,HU,Pest,,11896,11896
Pilis,47.2844,19.5435,Hungary,HU,Pest,,11827,11827
Kőszeg,47.3819,16.5522,Hungary,HU,Vas,minor,11723,11723
Isaszeg,47.5333,19.4000,Hungary,HU,Pest,,11645,11645
Diósd,47.4042,18.9458,Hungary,HU,Pest,,11484,11484
Dorog,47.7194,18.7292,Hungary,HU,Komárom-Esztergom,,11424,11424
Nyírbátor,47.8333,22.1333,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,11388,11388
Tököl,47.3203,18.9671,Hungary,HU,Pest,,11332,11332
Bátonyterenye,47.9892,19.8286,Hungary,HU,Nógrád,minor,11284,11284
Sajószentpéter,48.2167,20.7167,Hungary,HU,Borsod-Abaúj-Zemplén,,11274,11274
